ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
0,Right,1,4.0,2423184450,3.0000000000000018
0,Right,2,4.0,1239584693,3.100000000000002
0,Right,3,4.0,2426619589,3.100000000000002
0,Right,4,4.0,3325463635,2.4000000000000012
0,Right,5,4.0,450272948,2.699999999999999
0,Right,6,4.0,4245420641,2.099999999999998
0,Right,7,4.0,1086233696,2.7000000000000015
0,Right,8,4.0,192210597,2.1999999999999984
0,Right,9,4.0,876953582,2.799999999999999
0,Right,10,4.0,4280162154,1.9999999999999982
0,Left,1,4.0,2547898262,3.099999999999999
0,Left,2,4.0,3779953257,2.999999999999999
0,Left,3,4.0,1102149446,2.2999999999999985
0,Left,4,4.0,3875081284,2.899999999999999
0,Left,5,4.0,2922762997,1.699999999999998
0,Left,6,4.0,2215360466,2.0999999999999983
0,Left,7,4.0,418701479,2.3999999999999986
0,Left,8,4.0,1350140927,2.5999999999999988
0,Left,9,4.0,36628725,2.5999999999999988
0,Left,10,4.0,2811874401,2.9000000000000017
